"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","ALBION",1983,1983-06-10,"DNS","NP","24.5","81.95","NP","NP","NP","NP","129.74","20.57","30.45","8.95","5.078","NP","53.091","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-06-16,"DNS","NP","23.5","81.95","NP","NP","NP","NP","114.77","20.57","32.62","7.67","5.078","NP","51.009","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-06-23,"DNS","NP","20","81.95","NP","NP","NP","NP","94.81","16.45","28.28","7.67","4.231","NP","46.637","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-06-30,"DNS","NP","17.7","81.95","NP","NP","NP","NP","99.8","16.45","28.28","7.67","5.078","NP","41.64","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-07-07,"DNS","NP","18.7","81.95","NP","NP","NP","NP","84.83","20.57","23.93","7.67","5.162","NP","41.702","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-07-21,"DNS","NP","16.3","81.95","NP","NP","NP","NP","89.82","16.45","28.28","7.67","26.799","NP","43.722","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-08-04,"DNS","NP","16.7","81.95","NP","NP","NP","NP","79.84","24.68","26.1","7.67","29.621","NP","36.435","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-08-18,"DNS","NP","13.8","81.95","NP","NP","NP","NP","99.8","16.45","26.1","7.67","35.263","NP","35.394","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-09-01,"DNS","NP","15.8","81.95","NP","NP","NP","NP","89.82","16.45","26.1","6.39","14.105","NP","33.312","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-09-15,"DNS","NP","19.2","81.95","NP","NP","NP","NP","94.81","22.21","21.75","7.67","1.975","NP","44.555","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-09-22,"DNS","NP","18.04","90.15","NP","NP","NP","NP","119.76","24.68","26.1","7.67","7.053","NP","21.653","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-10-27,"DNS","NP","21.34","81.95","NP","NP","NP","NP","97.3","22.21","26.54","5.11","2.257","NP","59.545","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-11-02,"DNS","NP","20.83","81.95","NP","NP","NP","NP","107.28","24.68","28.28","5.11","1.693","NP","69.331","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1983,1983-12-22,"DNS","NP","24.44","83.59","NP","NP","NP","NP","115.27","26.32","28.28","7.67","3.667","NP","84.529","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-05-23,"DNS","NP","24.95","161.77","NP","NP","NP","NP","180.14","29.61","31.32","20.71","5.924","NP","72.037","NP","50.918","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-05-31,"DNS","NP","21.4","136.86","NP","NP","NP","NP","164.67","27.15","27.84","13.04","6.206","NP","67.457","NP","39.603","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-06-07,"DNS","NP","21.3","142.92","NP","NP","NP","NP","162.67","27.15","28.71","12.02","5.642","NP","61.419","NP","51.584","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-06-14,"DNS","NP","21","131.94","NP","NP","NP","NP","154.19","24.68","25.66","12.02","5.078","NP","59.962","NP","48.422","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-06-21,"DNS","NP","19","130.3","NP","NP","NP","NP","144.21","23.03","28.28","12.27","8.463","NP","52.883","NP","43.93","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-06-28,"DNS","NP","18.3","121.94","NP","NP","NP","NP","163.17","20.57","26.97","11.76","4.796","NP","45.804","NP","32.115","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-07-05,"DNS","NP","18.1","115.88","NP","NP","NP","NP","156.69","19.74","26.54","10.74","4.231","NP","44.138","NP","33.613","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-07-12,"DNS","NP","17.4","115.88","NP","NP","NP","NP","156.19","18.92","23.05","10.48","3.385","NP","46.429","NP","27.955","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-07-19,"DNS","NP","18.4","112.93","NP","NP","NP","NP","127.24","18.92","23.93","6.39","3.949","NP","40.391","NP","12.48","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-07-26,"DNS","NP","16.1","95.88","NP","NP","NP","NP","128.74","18.1","22.18","6.39","3.949","NP","51.009","NP","8.986","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-08-02,"DNS","NP","16.4","109.81","NP","NP","NP","NP","144.21","18.1","23.49","6.14","3.949","NP","43.514","NP","10.816","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-08-09,"DNS","NP","15.7","121.94","NP","NP","NP","NP","125.25","18.1","23.05","5.63","3.667","NP","43.306","NP","7.987","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-08-17,"DNS","NP","16.8","108.83","NP","NP","NP","NP","88.32","17.27","22.62","5.88","0.846","NP","49.968","NP","13.645","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-08-23,"DNS","NP","16.9","123.25","NP","NP","NP","NP","87.33","17.27","23.05","5.63","0.846","NP","51.634","NP","18.138","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-08-30,"DNS","NP","17.5","126.2","NP","NP","NP","NP","83.33","18.92","23.05","6.39","2.821","NP","49.135","NP","43.264","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-09-07,"DNS","NP","15.4","105.88","NP","NP","NP","NP","84.83","18.92","20.88","5.88","2.821","NP","39.35","NP","48.755","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-09-14,"DNS","NP","17.6","129.81","NP","NP","NP","NP","84.33","19.74","24.36","5.63","3.667","NP","47.47","NP","27.622","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-09-21,"DNS","NP","19.1","119.81","NP","NP","NP","NP","87.82","21.39","25.66","6.14","3.103","NP","38.725","NP","44.928","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-09-28,"DNS","NP","18.2","141.77","NP","NP","NP","NP","88.82","20.57","24.36","6.14","2.257","NP","49.552","NP","43.264","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-10-05,"DNS","NP","17.4","141.77","NP","NP","NP","NP","85.33","21.39","19.14","5.63","2.821","NP","49.135","NP","26.79","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-11-09,"DNS","NP","19.74","147.84","NP","NP","NP","NP","106.29","27.97","24.79","5.88","4.514","NP","46.637","NP","31.616","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-11-30,"DNS","NP","22.28","180.29","NP","NP","NP","NP","113.27","31.26","26.97","6.14","6.488","NP","62.668","NP","32.448","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1984,1984-12-31,"DNS","NP","34","229.46","NP","NP","NP","NP","159.18","41.95","43.94","6.65","8.35","NP","93.274","NP","23.296","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-01-15,"DNS","6.51","19.8","105.88","NP","NP","0.31","NP","101.8","22.21","22.18","18.92","11.566","NP","57.671","NP","21.632","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-01-31,"DNS","6.56","30","197.83","NP","NP","0.28","NP","153.69","34.55","40.02","10.23","12.13","NP","82.239","NP","21.632","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-02-28,"DNS","6.45","29.4","195.04","NP","NP","0.35","NP","139.22","34.55","41.32","8.95","14.387","NP","81.614","NP","39.936","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-03-28,"DNS","6.28","23.3","165.87","NP","NP","0.52","NP","135.23","23.86","28.71","7.42","17.49","2.213","66.208","NP","43.264","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-04-25,"DNS","6.34","27.3","185.86","NP","NP","0.46","NP","141.72","29.61","34.8","7.67","5.36","8.670","78.283","NP","39.936","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-05-09,"DNS","6.63","27.3","185.86","NP","NP","0.23","NP","127.24","30.44","33.49","9.97","8.181","13.014","88.901","NP","14.976","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-05-16,"DNS","6.63","28.6","187.83","NP","NP","0.23","NP","132.23","31.26","34.37","8.95","5.924","5.933","73.286","NP","28.288","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-05-23,"DNS","6.53","22.8","176.85","NP","NP","0.3","NP","131.74","28.79","34.37","8.44","6.77","7.179","71.413","NP","62.899","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-05-30,"DNS","6.52","20.3","147.84","NP","NP","0.3","NP","108.28","23.86","30.88","7.42","5.924","16.357","67.457","NP","54.08","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-06-06,"DNS","6.54","17.8","142.59","NP","NP","0.29","NP","92.81","21.39","27.84","7.42","5.078","5.245","62.876","NP","27.456","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-06-13,"DNS","6.45","18.4","147.84","NP","NP","0.35","NP","85.83","19.74","22.18","6.65","3.667","3.344","62.252","NP","14.81","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-06-20,"DNS","6.67","18.4","133.91","NP","NP","0.21","NP","105.29","20.57","23.05","5.63","3.667","3.376","63.085","NP","14.144","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-06-27,"DNS","6.17","17.9","116.86","NP","NP","0.68","NP","104.79","19.74","23.05","6.9","3.949","3.704","67.04","NP","16.806","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-07-02,"DNS","6.2","18.6","126.86","NP","NP","0.63","NP","98.8","19.74","21.75","6.39","3.949","3.409","66.832","NP","9.984","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-07-04,"DNS","6.12","18.1","113.91","NP","NP","0.76","NP","93.31","18.92","19.57","5.63","3.667","3.065","65.375","NP","10.483","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-07-08,"DNS","6.46","17.7","124.56","NP","NP","0.35","NP","92.81","18.92","20.01","5.37","3.949","3.688","64.542","NP","18.304","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-07-11,"DNS","6.26","18.4","119.65","NP","NP","0.55","NP","91.82","18.92","19.14","5.88","3.385","4.294","60.378","NP","15.642","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-07-16,"DNS","6.09","17.6","97.85","NP","NP","0.81","NP","91.82","18.1","17.83","5.37","3.949","3.966","60.17","NP","1.997","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-07-18,"DNS","6.37","16.9","118.83","NP","NP","0.43","NP","93.31","17.27","18.27","6.14","3.949","3.999","61.627","NP","12.147","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
"NWT","ALBION",1985,1985-07-22,"DNS","6.25","16.8","123.91","NP","NP","0.56","NP","95.81","18.92","19.14","5.88","3.667","4.163","62.876","NP","4.493","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NaN"
